# Two-Pass Transcription: best_part.mp3
# Duration: 271.44s

Time     Chord        Bass         Chords                       Melody
66.50    Gmaj7        F#3 G2       E3 B3 B4 D3 A4               -
66.60    Gmaj7        F#3 G2       B3 E3 D3 A4                  -
66.70    Gmaj7        F#3 G2       D3 B3 A4                     -
66.80    Gmaj7        F#3 G2       D3 A4 A#4 B3                 -
66.90    Gmaj7        F#3 G2       D3 B3 E3 A#4                 -
67.00    Gmaj7        F#3 G2       D3 B3 E3 A#4                 F#4 A4 B4
67.10    Gmaj7        F#3 G2       D3 B3 E3                     F#4 A4 B4
67.20    Bm           F2 F#3       D3 D4 B3                     F#4 A4 B4 A4 B4 D5
67.30    D?           F#3 F2       D3 D4                        A4 B4 D5 D5 D#5 A5
67.40    -            -            D3 D4                        A4 B4 D5 D5 D#5 A5 D5 A5
67.50    D            F#3          D3 D4                        D5 D#5 A5 D5 A5
67.60    D            F#3          D3 D4                        D5 A5 F#4 D5 A5
67.70    D            F#3          D3 D4                        F#4 D5 A5
67.80    D            F#3          D3 D4                        F#4 D5 A5
67.90    Dm           -            D3 F3                        D4 G4 F#5
68.00    A#           F3 C3        D3 A#3                       D4 G4 F#5 G4 A4 D5 G#4 A4 D5
68.10    A#           C3 F3        D3 A#3                       D4 G4 F#5 G4 A4 D5 G#4 A4 D5 G#4 A4 D5
68.20    A#           F3 C3        D3 A#3                       G4 A4 D5 G#4 A4 D5 G#4 A4 D5
68.30    Csus4        F3 C3        G4 A#3                       G#4 A4 D5
68.40    F5           F3           C3                           G4 A4 D5
68.50    F5           F3           C3                           G4 A4 D5
68.60    Fsus4        F2 F3        C3 A#3                       G4 A4 D5
68.70    A#5          F3           A#3 G4                       -
68.80    A#5          F3           A#3                          G4
68.90    A#5          F3           A#3                          G4
69.00    Fsus4        F3 E2        A#3 C3                       G4
69.10    Edim         E2           A#3 C3 G4                    -
69.20    Edim         F3 E2        A#3 C3 G4                    -
69.30    Edim         E2           F3 A#3 C3 G4                 -
69.40    A#5          F2           F3 A#3                       F4 G4
69.50    A#5          F2 B2        F3 A#3                       F4 G4
69.60    A#5          F2           F3 A#3                       F4 G4 F4 G4
69.70    Gmin7        F3           D3 D4 G3 A#3                 F4 G4 F4 G4
69.80    Dm?          F3 F2        D3 D4                        F4 G4 F4 G4 E4 G4 D5
69.90    G5           F3 F2        D4 G3                        F4 G4 E4 G4 D5
70.00    Dm?          F2 F3        D4                           E4 G4 D5 E4 G4 D5
70.10    Dm?          F2 F3        D4                           E4 G4 D5
70.20    Dm?          F3           D4                           E4 G4 D5
70.30    F5           F3           D4 D3 C4                     G4 D5 A5
70.40    F5           F3           C3 D3 D4 C4                  G4 D5 A5
70.50    F5           F3           C3 C4 D3 D4                  G4 D5 A5
70.60    F5           F2           C3 C4 D4                     G4 C5 D5
70.70    Csus2?       -            D4 C4                        G4 C5 D5
70.80    Dm?          F2           D4                           G4 C5 D5
70.90    A#           F3           A#3 D4                       G4 D5 A5
71.00    A#           F2           A#3 D4                       G4 D5 A5
71.10    A#           F3           A#3 D4                       G4 D5 A5
71.20    A#           F3           A#3 D4                       F4 G4 A#4
71.30    A#           F3           A#3 D3 D4                    F4 G4 A#4
71.40    A#           F2 F3        D3 A#3 D4                    F4 G4 A#4
71.50    Faug         F2 D3        F3 C#4 A3                    F4 F#4 A#4
71.60    Faug         F2 D3        C#3 C#4 A3 B4                F4 F#4 A#4
71.70    Faug         D3 F2        C#3 C#4 A3 B4                F4 F#4 A#4
71.80    Dmaj7        D3           C#3 C#4 A3 F#4 B4 B3         -
71.90    Dmaj7        D3           C#4 A3 C#3 B3 F#4            -
72.00    Dmaj7        -            A3 D3 C#3 C#4 B3 F#4         -
72.10    Dmaj7        -            D3 A3 C#4 B3 F#4             -
72.20    D5           -            D3 A3 B3                     F#4 A4 D5
72.30    D5           -            D3 A3                        F#4 A4 D5 A4 B4 B5
72.40    D5           C2           A3 D3 C#3                    F#4 A4 D5 A4 B4 B5
72.50    D5           C2           A3 D3                        A4 B4 B5 A4 D5 B5
72.60    Dm           F2           A3 D3 B4                     A4 D5 B5
72.70    Faug         F2           A3 D3 C#4                    A4 D5 B5 A4 B4 D5
72.80    Faug         F2           A3 D3 B3 C#4                 A4 B4 D5
72.90    Faug         F2           B3 A3 D3 C#4                 A4 B4 D5 A4 B4 D5
73.00    D5           -            B3 D3 A3                     A4 B4 D5
73.10    D5           D3           B3 A3                        A4 B4 D5 A4 B4 D5
73.20    D5           D3           A3                           A4 B4 D5
73.30    Dm           F2           G4 E4 D3 A3                  A4 B4 D5
73.40    Fsus2?       F2 G3        G4 F#4                       E4 A4 B4
73.50    C5           G3 C2        F#4                          E4 A4 B4 E4 G4 D5 E4 G4 D5
73.60    C5           G3 C2        F#4 F#3                      E4 A4 B4 E4 G4 D5 E4 G4 D5
73.70    -            G3           F#3 F#4                      E4 G4 D5 E4 G4 D5
73.80    -            G3           F#3                          E4 F#4 G4
73.90    Emadd9       F#3          E3 G3                        E4 F#4 G4
74.00    D?           F#3          D4                           E4 F#4 G4 E4 F#4
74.10    Dadd9        F#3          E3 D4 D3                     E4 F#4
74.20    D            F#3          D4 D3                        E4 F#4 E4 E5
74.30    D            F#3 A1       D3 D4                        E4 E5 E4 F#4
74.40    D            -            F#3 D3                       E4 E5 E4 F#4
74.50    D?           D3 F#2       F#3                          E4 F#4 E4 F#4
74.60    Dadd9        D3           E3 F#3                       E4 F#4
74.70    D            D3           F#3                          E4 F#4 E4 F#4 A4
74.80    D            D3           F#3                          E4 F#4 A4
74.90    -            D3           -                            E4 F#4 A4 E4 A4 D5
75.00    -            D3           D4                           E4 A4 D5
75.10    -            D3           D4                           E4 A4 D5
75.20    F            F2 A2        D3 C4 G3                     E4 G4 D5
75.30    F            F2 A2        D3 C4 G3 B4                  E4 G4 D5 G4 C5 D5
75.40    C5           A2           C3 C4 G3 B4 A3               E4 G4 D5 G4 C5 D5
75.50    Amin7        A2           C3 C4 E4 B3 G3 A3            G4 C5 D5
75.60    Amin7        A2           A3 A4 C3 C4 B3 G3 E4         -
75.70    C5           A2           A3 C4 B3 G3                  E4 G4 A4
75.80    G            A2           D3 A3 B3 G3 C4               E4 G4 A4
75.90    D5           A2           D3 A3 B3 C4                  E4 G4 A4 A4 B4 B5
76.00    D5           A2           D3 B3 A3 C4                  A4 B4 B5
76.10    C5           G2           C3 G3 B3 A3                  A4 B4 B5 G4 D5 B5
76.20    C5           A1 G3        C3 B3 B4 A3 A4               G4 D5 B5
76.30    Em           G3           E3 B3 A3 A4                  G4 D5 B5 G4 B4 D5
76.40    Asus2        G3 A2        E3 B3 A4 A3                  G4 B4 D5
76.50    Asus2        G3 A2        E3 B3                        G4 B4 D5 A4 D5 B5
76.60    Fdim         A2 F2        E3 B3 G3 G#4                 A4 D5 B5 A4 B4 D5
76.70    Em           F2           E3 B3 G3                     A4 D5 B5 A4 B4 D5 A4 B4 D5
76.80    Em           -            E3 G3                        A4 B4 D5 A4 B4 D5
76.90    Em           -            E3 G3                        A4 B4 D5
77.00    D9           -            F#3 E3 D3 C4                 E4 A4 B4
77.10    D9?          F#3 F#2      E3 D3 C4                     E4 A4 B4 E4 B4 E4 F#4
77.20    D7?          F#2 F#3      C4 D3                        E4 A4 B4 E4 B4 E4 F#4 E4 F#4 B4
77.30    C?           F#2 F#3      E3 C4                        E4 B4 E4 F#4 E4 F#4 B4 E4
77.40    Esus2?       F#3          E3                           E4 F#4 B4 E4
77.50    Esus2?       F#3          E3                           E4
77.60    Dadd9        F#3          D3 E3 D4                     E4 B4
77.70    Dadd9        F#3          D3 D4 E3                     E4 B4 E4 B4 D5 E4 B4 D5
77.80    Dsus2?       -            D3 E3 D4 C4                  E4 B4 E4 B4 D5 E4 B4 D5
77.90    F#aug        F#2          D3 C4 D4 A#3                 E4 B4 D5 E4 B4 D5 E4 B4 D5 E4 A#4 C5
78.00    Fsus4        F2           C4 A#3                       E4 B4 D5 E4 A#4 C5
78.10    A#sus2       -            F4 C4 A#3                    E4 B4 D5 E4 A#4 C5
78.20    F#?          F#3          C4 A#3                       F4 A#4 C5
78.30    F#?          F#3          A#3 C4                       F4 A#4 C5 F4 C5
78.40    G#7          G#2 F#3      D#4 A#3 C4                   F4 A#4 C5 F4 C5
78.50    G#9          G#2 F#3      A#3 G#3 C4                   F4 C5 D#4 F4 A#4
78.60    G#9          G#2 F#3      A#3 G#3 C4                   D#4 F4 A#4
78.70    G#7          G#2 F#3      G#3 C4                       D#4 F4 A#4
78.80    G5           G2           D3 G3 F#3                    D#4 E4 A#4
78.90    G5           G2           D3 G3 F#3 F#4                D#4 E4 A#4 E4 A4 B4
79.00    G5           G2           D3 G3 F#3 D4                 D#4 E4 A#4 E4 A4 B4 E4 F#4 A4
79.10    Gmaj7        G2           G3 F#3 D3 D4 B3 G4           E4 A4 B4 E4 F#4 A4
79.20    Gmaj7        G2           D3 D4 B3 B4 F#3 G4           E4 F#4 A4
79.30    Gmaj7        G2           D3 D4 F#3 B4 G4 F#4          -
79.40    Gm           G2           D3 A4 A#4 F#3 F#4 G4         -
79.50    Gm           G2           D3 A#4 A3 F#3 F#4            A4 B4 D5
79.60    Gm           G2           D3 F#3 A#4                   A4 B4 D5
79.70    G5           G2           F#3 D3                       A4 B4 D5 B4 D5 B5
79.80    G5           G2 F#3       D3                           B4 D5 B5 D5
79.90    Gmaj7        F#3 G2       D3 B3                        B4 D5 B5 D5 F#4 D5 E5
80.00    Gmaj7        F#3 G2       B4 D3                        D5 F#4 D5 E5
80.10    Gmaj7        G2 F#3       B3 B4 D3                     F#4 D5 E5
80.20    Gmaj7        G2 F#3       D3 B4 B3 A3 A4               -
80.30    Gmaj7        G2 F#3       D3 E3 B3 B4 A4               D5
80.40    Gmaj7        G2 F#3       E3 D3 B3                     D5 B4 D5 B5
80.50    Gm           G2 F#3       D3 A#4 E3                    D5 B4 D5 B5
80.60    D?           F2 F#3       D3                           B4 D5 B5 A4 B4 B5
80.70    Bm           F2 F#3       D3 B3                        A4 B4 B5
80.80    Bm           F#3          D3 B3 E3                     A4 B4 B5 A4 B4 D5
80.90    Bm           F#3          D3 E3 B3                     A4 B4 D5
81.00    G5           F#3 G2       E3 D3                        A4 B4 D5
81.10    Gmaj7        F#3 G2       B3 D3 B4                     E4 A4 B5
81.20    Em           F#3 G2       E3 F#4 B3                    E4 A4 B5 E4 B4
81.30    Esus2        -            E3 F#3 F#4 B3                E4 A4 B5 E4 B4 E4 B4
81.40    Em           G2           E3 F#3 B3                    E4 B4 E4 B4 E4 F#4 B4 E4 B4
81.50    Em           G2           E3 B3                        E4 B4 E4 F#4 B4 E4 B4
81.60    Em           G2           E3 B3                        E4 F#4 B4 E4 B4
81.70    Bm           F#3          D3 D4 E3 B3                  E4 B4
81.80    Bm           B1 F#3       D3 D4 E3 B3                  E4 B4 E4 B4 D5
81.90    Bm           B1 F#3       D3 D4 E3                     E4 B4 E4 B4 D5 E4 B4 D5
82.00    Dadd9        D3 F#3       D4 E3                        E4 B4 D5 E4 B4 D5 E4 B4 D5 E4 B4 D5
82.10    Dadd9        D3 F#3       E3                           E4 B4 D5 E4 B4 D5 E4 B4 D5 E4 B4 D5 E4 A4 D5
82.20    Dadd9        D3 F#3       E3                           E4 B4 D5 E4 B4 D5 E4 B4 D5 E4 A4 D5
82.30    Esus2?       E2           D3 F#3                       E4 B4 D5 E4 A4 D5 G4 A4 D5
82.40    Emin7b5      E2           D3 G3 C3 D4 A#3              G4 A4 D5 G4 D5 G4 D5 G4 A4 D5
82.50    Emin7b5      E2 G3        D3 C3 D4 A#3                 G4 A4 D5 G4 D5 G4 D5 G4 A4 D5 G4 A4 D5 G4 A4 D5
82.60    Emin7b5      G3 E2        D3 D4 A#3 A3                 G4 D5 G4 D5 G4 A4 D5 G4 A4 D5 G4 A4 D5
82.70    Dsus4        -            G3 D3 D4 A#3 A3              G4 A4 D5 G4 A4 D5
82.80    Gm           -            G3 D3 D4 A#3                 G4 A#4 D5
82.90    Gm           G2 G3        C3 D3 D4 A#3                 G4 A#4 D5
83.00    Gm           G2 G3        D3 D4 A#3                    G4 A#4 D5
83.10    Gm           G2 G3        D3 D4 A#3 A3                 -
83.20    Gm           G2 G3        D3 D4 A#3 A3                 -
83.30    Gm           G2 G3        D3 D4 A#3 A#4                -
83.40    Gm           G3           D3 D4 A#3 A#4                -
83.50    Csus2        C2 G3        C3 D3 A#4                    G#4 D5 B5
83.60    Csus2        C3           G3 G4 D3                     G#4 D5 B5
83.70    C            C3 E2        G3 G4 D3 D4                  G#4 D5 B5
83.80    C            E2 C3        G3 G4 D3 D4                  -
83.90    Gsus4        G2           G3 D3 D4 C3                  -
84.00    G            G2           G3 D3 D4 C3 B4               G4 D5 E5
84.10    G            G2           D4 G3 D3 B4                  G4 D5 E5
84.20    Gm           G2 C3        A#3 D4 G3                    G4 D5 E5 F#4 G4 D5
84.30    Gm           G2 C3        A#3 D4 G3 E4                 F#4 G4 D5 F#4 A#4 D5 F#4 A#4 D5
84.40    C7           C2 G2        A#3 D4 G3 E4                 F#4 G4 D5 F#4 A#4 D5 F#4 A#4 D5 F#4 A#4 D5 F#4 A#4 D5
84.50    C7           C2 G2        D4 A#3 G3 G4 E4              F#4 A#4 D5 F#4 A#4 D5 F#4 A#4 D5 F#4 A#4 D5 F#4 A#4 D5 F#4 A#4 D5 F#4 A#4 D5
84.60    C7           C2 G2        D3 D4 A#3 G3 E4              F#4 A#4 D5 F#4 A#4 D5 F#4 A#4 D5 F#4 A#4 D5 F#4 A#4 D5 G4 A#4 D5
84.70    Csus2?       C2           D3 D4 A#3                    F#4 A#4 D5 F#4 A#4 D5 F#4 A#4 D5 G4 A#4 D5 E4 A4 D5
84.80    Csus2?       C2           D3 D4 A#3                    G4 A#4 D5 E4 A4 D5
84.90    Csus2?       C2           D3 D4 A#3                    E4 A4 D5
85.00    C9           C2           D3 D4 A#3 E4                 -
85.10    Csus2?       C2           D3 A#3                       E4 A4 A#4
85.20    Csus2?       C2           D3 A#3                       E4 A4 A#4 A4
85.30    Csus2?       C2           D3 A#3                       E4 A4 A#4 A4
85.40    C9           C2           D3 A#3 E4                    A4
85.50    Csus2?       C2           D3 A#3                       E4 F#4 A4
85.60    Csus2?       C2           D3                           E4 F#4 A4
85.70    Csus2?       C2           D3                           E4 F#4 A4
85.80    Csus2        G2 C2        D3 G3 B4                     E4 F#4 A4
85.90    Csus2        G2 C2        D3 A3 G3 B4                  E4 F#4 A4 E4 F#4 A4 F#4 G4 A#4
86.00    Gsus2        G2           D3 A3                        E4 F#4 A4 E4 F#4 A4 F#4 G4 A#4 F#4 A4 B4 F#4 A4 B4
86.10    Dsus4        D2 G2        D3 C#4 A3                    E4 F#4 A4 F#4 G4 A#4 F#4 A4 B4 F#4 A4 B4 F#4 A4 B4 F#4 A4 B5 F#4 A4 B4
86.20    Dmaj7        D2 G2        D3 C#4 A3 F#3                F#4 A4 B4 F#4 A4 B4 F#4 A4 B4 F#4 A4 B5 F#4 A4 B4 A4 B4 B5
86.30    D5           D2           D3 C#4 A3                    F#4 A4 B4 F#4 A4 B5 F#4 A4 B4 A4 B4 B5
86.40    Dmaj7        D2           D3 C#4 A3 F#4                A4 B4 B5
86.50    D5           D2           D3 C#3 C#4 A3                F#4 B4 B5
86.60    Dsus2        D2           E3 D3 A3 C#4                 F#4 B4 B5
86.70    Dsus2        A2 D2        E3 D3 A3 C#4                 F#4 B4 B5 E4 A4 B4
86.80    Dsus2        A2 D2        E3 D3 C#4 A3                 E4 A4 B4 E4 A4 B4
86.90    Dsus2        A2 D2        C#3 C#4 E3 D3                E4 A4 B4 E4 A4 B4 E4 F#4 C#5
87.00    Dsus2        A2 D2        C#3 C#4 E3 D3                E4 A4 B4 E4 F#4 C#5 E4 F#4 G#5
87.10    Dsus2        A2 D2        C#3 C#4 E3 D3                E4 F#4 C#5 E4 F#4 G#5 E4 F#4 G#5
87.20    Dsus2        A2 D2        E3 C#4 D3 A3                 E4 F#4 G#5 E4 F#4 G#5 E4 F#4 G#5 E4 F#4 C#5
87.30    A            A2           E3 C#4 D3 A3                 E4 F#4 G#5 E4 F#4 G#5 E4 F#4 C#5 E4 F#4 G#5
87.40    A            A2           E3 C#4 D3 C#3 A3             E4 F#4 G#5 E4 F#4 C#5 E4 F#4 G#5
87.50    A            A2           E3 D3 C#3 A3 C#4             E4 F#4 G#5
87.60    A            A2           D3 C#3 E3 C#4 A3 E4 F#4      D5
87.70    A            A2           C#3 E3 C#4 D3 A3 A4 F#4      D5
87.80    F#min7       E3           C#3 F#3 C#4 A3               D5 A4 C#5 D5
87.90    F#min7       E3           C#3 F#3 C#4 A3               A4 C#5 D5 F#4 A4 C#5
88.00    F#min7       E3 F#3       C#3 C#4 A3                   A4 C#5 D5 F#4 A4 C#5 E4 F#4 B5 E4 C#5 B5
88.10    F#min7       E3 F#3       C#4 A3                       F#4 A4 C#5 E4 F#4 B5 E4 C#5 B5
88.20    F#min7       E3 F#3       A3 C#4                       E4 F#4 B5 E4 C#5 B5 E4 A4 B4
88.30    A5           E3 F#3       A3                           E4 A4 B4
88.40    A5           E3 F#3       A3                           E4 A4 B4
88.50    F#min7       E2 E3        A4 A3 F#3 C#4                -
88.60    Dmaj7        E2 E3        D3 F#3 A3 A4 C#4             -
88.70    Esus2        E2 B2        D3 D4 F#3 F#4 E3 A3          E4 A4 B4
88.80    Bmin7        B1 B2        D3 D4 F#3 A3 B3              E4 A4 B4 F#4 A4 D5 F#4 A4 D5
88.90    Bmin7        B1 B2        D3 D4 F#3 A3 B3              E4 A4 B4 F#4 A4 D5 F#4 A4 D5 F#4 A4 D5
89.00    Bmin7        B2           D3 D4 A3 F#3 B3              F#4 A4 D5 F#4 A4 D5 F#4 A4 D5 F#4 A4 D5
89.10    Dm           -            D3 D4 A3 F4                  F#4 A4 D5 F#4 A4 D5
89.20    D5           A#2          D3 A3 A#4                    F#4 A4 D5 F#4 A4 D5 F4 A4 D5
89.30    D5           A#2          D3 D4 A3 A#4                 F#4 A4 D5 F4 A4 D5
89.40    D5           A#2          A3 D4 A#4                    F#4 A4 D5 F4 A4 D5 F4 A4 D5 F4 A4 D5 F4 A4 D5
89.50    D5           A#2          D4 A3                        F4 A4 D5 F4 A4 D5 F4 A4 D5
89.60    D5           A#2          D4 A3                        F4 A4 D5 F4 A4 D5 F4 A4 D5
89.70    A#maj7       A#2          D4 A3 A4 F4 A#3              -
89.80    D5           A#2          D4 A3 A4 A#3                 -
89.90    D5           A#2          D4 A3 A4 A#3                 -
90.00    C5           -            B3 G3 C4 G4                  A4 B4 D5
90.10    G            A2           D3 B3 G3 C4                  A4 B4 D5 E4 G4 B4
90.20    G            A1 A2        C3 G3 C4 B3 D3               A4 B4 D5 E4 G4 B4 E4 G4 A4
90.30    G            A2           C3 B3 C4 D3 A3 G3            E4 G4 B4 E4 G4 A4 E4 G4 C5
90.40    Amin7        A2           C3 E3 C4 G3 B3               E4 G4 A4 E4 G4 C5 E4 G4 B4 E4 G4 B4
90.50    Amin7        C3 A2        E3 G3 C4 B3                  E4 G4 C5 E4 G4 B4 E4 G4 B4 E4 G4 B4
90.60    C            C3           E3 C4 G3                     E4 G4 B4 E4 G4 B4 E4 G4 B4
90.70    -            -            C#3 D3                       E4 G4 B4 E4 F4 G#4 E4 F4 G#4
90.80    F#sus4       F#2          C#3 D3 B4                    E4 F4 G#4 E4 F4 G#4 E4 F4 G#4
90.90    F#5          F#2          C#3 D3                       E4 F4 G#4 E4 F4 G#4 E4 F4 G#4 F4 G#4 A5
91.00    D            F#2          D3 E3 A3                     E4 F4 G#4 F4 G#4 A5 F4 G#4 A4 G#4 G#4 A4
91.10    C#aug        C#3          D3 A3 F3                     F4 G#4 A5 F4 G#4 A4 G#4 G#4 A4 G#4 G#4 A4 G#4 A4 D5 A4 D5
91.20    D            F#2          D3 A3                        F4 G#4 A4 G#4 G#4 A4 G#4 G#4 A4 G#4 A4 D5 A4 D5 D5
91.30    Dsus4        D2           D3 G3 G4 A3 C4               G#4 G#4 A4 G#4 A4 D5 A4 D5 D5 A4 D5 G#4 A4 D5
91.40    Dsus4        D2 D3        G3 A3 C4                     D5 A4 D5 G#4 A4 D5 G#4 A4 D5 G4 C5 D5
91.50    Dsus4        D2 D3        G3 C4 A3                     A4 D5 G#4 A4 D5 G#4 A4 D5 G4 C5 D5 G4 D5 B5 B4 D5 B5
91.60    Dsus4        D2 G3        A3 D3 C3 C4                  G#4 A4 D5 G4 C5 D5 G4 D5 B5 B4 D5 B5 G4 A4 B4 G4 A4 B4
91.70    Dsus4        D2 G3        D3 A3 C3 C4                  G4 D5 B5 B4 D5 B5 G4 A4 B4 G4 A4 B4
91.80    G5           D2 G3        D3                           G4 A4 B4 G4 A4 B4 A4 B4 D5
91.90    G5           D2 G3        D3                           A4 B4 D5
92.00    G5           C#2 G3       D3                           A4 B4 D5
92.10    Dsus4        G3           D3 A4 B4                     -
92.20    Dadd9        -            D3 E3 F#3                    E4 A4 B4
92.30    Dadd9        F#3          E3 D3                        E4 A4 B4 E4 A4 B4 E4 F#4 B4
92.40    Dadd9        F#3          E3 D3                        E4 A4 B4 E4 A4 B4 E4 F#4 B4
92.50    Dadd9        F#3          E3 D3                        E4 A4 B4 E4 F#4 B4
92.60    A5           F#3          E3 E4 A4                     -
92.70    A5           F#3          E3 A4                        E4 F#4 B4
92.80    Dadd9        F#3 D2       E3                           E4 F#4 B4
92.90    Esus2?       E2 F#3       E3                           E4 F#4 B4
93.00    Esus2?       F#2          E3 E4                        -
93.10    G5           F#2          E3 G3 D3 F#3                 E4 F#4 B4
93.20    Gmaj7        G2 F#3       G3 D3 E3 B3                  E4 F#4 B4
93.30    Gmaj7        G2 F#3       D3 E3 B3 G4                  E4 F#4 B4
93.40    Gmaj7        G2 F#3       D3 E3 E4 B3 G4               -
93.50    Gmaj7        G2 F#3       D3 E3 E4 B3 G4               -
93.60    G5           G2 F#3       D3 D4                        E4 A4 D5
93.70    G5           F#3 G2       D3 D4                        E4 A4 D5
93.80    G5           F#3 G2       D3 D4                        E4 A4 D5 F#4 G4 D5
93.90    G5           F#3 G2       D3 D4                        F#4 G4 D5
94.00    G5           F#3 G2       D3 D4                        F#4 G4 D5 F#4 G4 D5 F#4 G4 D5
94.10    G5           F#3 G2       D3 D4                        F#4 G4 D5 F#4 G4 D5
94.20    Gsus2        G2 F#3       D3 A3 D4                     F#4 G4 D5 F#4 G4 D5 F#4 G4 A4
94.30    Gsus2        G2 F#3       D3 A3 D4 G3                  F#4 G4 A4
94.40    Gsus2        F#3 G2       D3 D4 A3 G3                  F#4 G4 A4 G4 A4 D5
94.50    Gsus2        F#3 G2       D3 D4 A3 G3                  G4 A4 D5
94.60    Gsus2        F#3 G2       D3 D4 A3 G3                  G4 A4 D5 D5
94.70    Gsus2        G2 F#3       D3 D4 A3 G3                  D5
94.80    D            F#3          D3 D4 B3 A3 G3               D5
94.90    Bm           F#3          D3 B3                        A4 D5 D5
95.00    B5           F#3 G2       B3 B4                        A4 D5 D5 F#4 A4 D5
95.10    Em           F#3 G2       B3 B4 E3                     A4 D5 D5 F#4 A4 D5
95.20    B5           F#3 G2       B4 B3                        F#4 A4 D5
95.30    Gmaj7        F#3 G2       D3 B3                        F#4 A4 B4
95.40    Gmaj7        F#3 G2       D3 B3                        F#4 A4 B4
95.50    Bm           F#3          D3 B3                        F#4 A4 B4 A4 B4
95.60    Bmin7        F#3 B1       D3 B3 A3                     A4 B4
95.70    Bmin7        F#2 B1 F#3   F#4 B3 D3 A3                 A4 B4
95.80    B5           F#3          B3                           F#4 A4 B4
95.90    B5           F#3          B3                           F#4 A4 B4
96.00    Bm           F#3          D3 B3                        F#4 A4 B4
96.10    D            -            D3 F#3 F#4 A4 B3             -
96.20    Fsus4        F2           F3 D3 A#3 C4                 F4 F#4 A4 F4 A4 C5
96.30    Fsus4        F2 C3        F3 D3 A#3 C4                 F4 F#4 A4 F4 A4 C5 F4 A4 C5 F4 A4 C5
96.40    C9?          C3 E2        A#3 C4 D3                    F4 F#4 A4 F4 A4 C5 F4 A4 C5 F4 A4 C5 F4 A4 C5 F4 A4 C5 F4 A4 C5
96.50    C9?          C3 E2        A#3 C4 D3                    F4 A4 C5 F4 A4 C5 F4 A4 C5 F4 A4 C5 F4 A4 C5 F4 A4 C5 F4 A4 C5
96.60    C9           C2 E2        A#3 C3 C4 D3                 F4 A4 C5 F4 A4 C5 F4 A4 C5 F4 A4 C5 F4 A4 C5
96.70    D5           C2           A#3 C3 D3 A3 C4              F4 A4 C5 F4 A4 C5
96.80    D5           C2           A#3 C3 A3 A4 D3 C4           -
96.90    F            F2           D3 A#4 C3 A#3 C4 A4          -
97.00    A#           E2           F4 D3 D4 A#3 A#4 C4 C3       -
97.10    A#           F2 E2        D3 A#3 D4 C4                 F4 A4 A#4
97.20    C9?          E2           D3 A#3 C4                    F4 A4 A#4
97.30    C9?          E2 C3        D3 A#3 C4                    F4 A4 A#4 F4 A#4 D5 F4 A#4 D5
97.40    C9?          E2           D3 A#3 D4 C4                 F4 A#4 D5 F4 A#4 D5 F4 A#4 D5 F4 A#4 D5
97.50    Csus2?       C3           A#3 D3 D4 C4                 F4 A#4 D5 F4 A#4 D5 F4 A#4 D5 F4 A#4 D5 F4 A#4 D5
97.60    G            B2           A#3 D3 D4 C4 G4              F4 A#4 D5 F4 A#4 D5 F4 A#4 D5
97.70    Cm           C3           D3 D#3 D4 C4 G4              F4 A#4 D5
97.80    Cmin7        C3           D#3 A#4 D3 D4 C4 G4          -
97.90    C11          C3 E2        D3 D#3 A#4 D4 A#3 G4 F4      -
98.00    Cmin7        C3           D3 D#3 A#3 D4 G4             F4 A#4 D5
98.10    C7           C3           D3 E3 A#3 G4                 F4 A#4 D5
98.20    C            C3           D3 E3 G4                     F4 A#4 D5 E4 A4 C5
98.30    C7           C3           D3 E3 A#4 G4                 E4 A4 C5 E4 A4 C5 E4 A4 C5
98.40    Csus2        C3           D3 D4 A#3 G4                 E4 A4 C5 E4 A4 C5 E4 A4 C5 E4 A4 C5
98.50    Csus2?       C3           D3 D4 A#3 C4                 E4 A4 C5 E4 A4 C5 E4 A4 C5 E4 G4 D5
98.60    Csus2?       C3           D3 D4 A#3 C4                 E4 A4 C5 E4 G4 D5 G4 A#4 D5
98.70    Csus2?       C3           D3 A#3 D4 C4                 E4 G4 D5 G4 A#4 D5
98.80    Fsus4        F2           D3 F4 D4 A#3 C4              G4 A#4 D5
98.90    A#add9       -            D4 A#3 C4                    F4 A4 A#4
99.00    Fsus4        F2           D4 A#3 C4                    F4 A4 A#4
99.10    Fsus4        F2           D4 A#3 C4                    F4 A4 A#4
99.20    Fsus4        F2 C3        D3 A#3 C4                    F4 A4 A#4 F4 A4 A#4
99.30    Fsus2        F2           D3 A#3 C3 G3                 F4 A4 A#4 F4 A4 A#4 F4 G4 A#4
99.40    C5           C3           A#3 G3                       F4 A4 A#4 F4 A4 A#4 F4 G4 A#4
99.50    A#sus2?      -            A#3 C4                       F4 G4 A#4
99.60    D5           -            D3 A4 A#3 C4                 -
99.70    A#           F2           D3 C#4 E3 A#3                E4 G4 A4
99.80    F#5?         F2           D3 C#4 E3 F#4                E4 G4 A4 E4 A4 C#5
99.90    Aaug         F2 A1        C#4 F#4                      E4 G4 A4 E4 A4 C#5
100.00   F#m          A1           C#4 F#4                      E4 A4 C#5
100.10   D5           -            D3 C#4 A3                    F#4 A4 C#5
100.20   D5           D2           D3 A3                        F#4 A4 C#5
100.30   D5           D2 A2        D3 A3 C#4                    F#4 A4 C#5
100.40   D5           A2 D2        D3 A3 C#4                    E4 F#4 A4
100.50   Dsus2        A2 D2        E3 D3 A3 C#4                 E4 F#4 A4
