# Transcription: best_part.mp3
# Duration: 271.44s
# BPM: 67
# Time Signature: 4/4
# Total Bars: 76
# First Downbeat: 0.000s
# BPM Confidence: 1.00

Bar.Beat   Time     Chord      Bass         Chords                   Melody
19.3.48    66.70    G          F#3 G2       D3 B3 A4                 -
19.3.59    66.80    G          F#3 G2       D3 A4 A#4 B3             -
19.3.70    66.90    G          F#3 G2       D3 B3 E3 A#4             -
19.3.81    67.00    G          F#3 G2       D3 B3 E3 A#4             B4 A4
19.3.92    67.10    G          F#3 G2       D3 B3 E3                 B4 A4
19.4.04    67.20    Bm         F2 F#3       D3 D4 B3                 D5 B4
19.4.15    67.30    D          F#3 F2       D3 D4                    A5 D5
19.4.26    67.40    -          -            D3 D4                    A5 D5
19.4.37    67.50    D          F#3          D3 D4                    D5 A5
19.4.48    67.60    D          F#3          D3 D4                    D5 A5
19.4.59    67.70    D          F#3          D3 D4                    D5 A5
19.4.70    67.80    D          F#3          D3 D4                    D5 A5
19.4.82    67.90    Dm         -            D3 F3                    -
19.4.93    68.00    A#         F3 C3        D3 A#3                   D5 D5
20.1.04    68.10    A#         C3 F3        D3 A#3                   D5 D5
20.1.15    68.20    A#         F3 C3        D3 A#3                   D5 D5
20.1.26    68.30    C5         F3 C3        G4 A#3                   D5 A4
20.1.38    68.40    F5         F3           C3                       A4
20.1.49    68.50    F5         F3           C3                       A4
20.1.60    68.60    F5         F2 F3        C3 A#3                   G4 A4
20.1.71    68.70    A#5        F3           A#3 G4                   -
20.1.82    68.80    A#5        F3           A#3                      G4
20.1.93    68.90    A#5        F3           A#3                      G4
20.2.04    69.00    F5         F3 E2        A#3 C3                   G4
20.2.16    69.10    Edim       E2           A#3 C3 G4                -
20.2.27    69.20    Edim       F3 E2        A#3 C3 G4                -
20.2.38    69.30    Edim       E2           F3 A#3 C3 G4             -
20.2.49    69.40    A#5        F2           F3 A#3                   G4
20.2.60    69.50    A#5        F2 B2        F3 A#3                   G4
20.2.72    69.60    A#5        F2           F3 A#3                   G4 G4
20.2.83    69.70    Gm         F3           D3 D4 G3 A#3             G4
20.2.94    69.80    Dm         F3 F2        D3 D4                    D5 G4
20.3.05    69.90    G5         F3 F2        D4 G3                    D5 G4
20.3.16    70.00    Dm         F2 F3        D4                       D5 D5
20.3.27    70.10    Dm         F2 F3        D4                       D5 G4
20.3.39    70.20    Dm         F3           D4                       D5 G4
20.3.50    70.30    F5         F3           D4 D3 C4                 A5 D5
20.3.61    70.40    F5         F3           C3 D3 D4 C4              A5 D5
20.3.72    70.50    F5         F3           C3 C4 D3 D4              A5 D5
20.3.83    70.60    F5         F2           C3 C4 D4                 D5 C5
20.3.94    70.70    Csus2      -            D4 C4                    D5 C5
20.4.05    70.80    Dm         F2           D4                       D5 C5
20.4.17    70.90    A#         F3           A#3 D4                   A5 D5
20.4.28    71.00    A#         F2           A#3 D4                   A5 D5
20.4.39    71.10    A#         F3           A#3 D4                   A5 D5
20.4.50    71.20    A#         F3           A#3 D4                   A#4 G4
20.4.61    71.30    A#         F3           A#3 D3 D4                A#4 G4
20.4.73    71.40    A#         F2 F3        D3 A#3 D4                A#4 G4
20.4.84    71.50    Faug       F2 D3        F3 C#4 A3                F4 A#4
20.4.95    71.60    Faug       F2 D3        C#3 C#4 A3 B4            F4 A#4
21.1.06    71.70    Faug       D3 F2        C#3 C#4 A3 B4            F4 A#4
21.1.17    71.80    D          D3           C#3 C#4 A3 F#4 B4 B3     -
21.1.28    71.90    D          D3           C#4 A3 C#3 B3 F#4        -
21.1.39    72.00    D          -            A3 D3 C#3 C#4 B3 F#4     -
21.1.51    72.10    D          -            D3 A3 C#4 B3 F#4         -
21.1.62    72.20    D5         -            D3 A3 B3                 -
21.1.73    72.30    D5         -            D3 A3                    B5 B4
21.1.84    72.40    D5         C2           A3 D3 C#3                B5 B4
21.1.95    72.50    D5         C2           A3 D3                    B5 B5
21.2.07    72.60    Dm         F2           A3 D3 B4                 B5 D5
21.2.18    72.70    Faug       F2           A3 D3 C#4                B5 D5
21.2.29    72.80    Faug       F2           A3 D3 B3 C#4             A4 D5
21.2.40    72.90    Faug       F2           B3 A3 D3 C#4             D5
21.2.51    73.00    D5         -            B3 D3 A3                 A4 D5
21.2.62    73.10    D5         D3           B3 A3                    D5 D5
21.2.73    73.20    D5         D3           A3                       D5 B4
21.2.85    73.30    Dm         F2           G4 E4 D3 A3              D5 B4
21.2.96    73.40    Fsus2      F2 G3        G4 F#4                   B4
21.3.07    73.50    C5         G3 C2        F#4                      D5 B4
21.3.18    73.60    C5         G3 C2        F#4 F#3                  D5 B4
21.3.29    73.70    Gmaj7?     G3           F#3 F#4                  D5 G4
21.3.40    73.80    Gmaj7?     G3           F#3                      E4
21.3.52    73.90    Em         F#3          E3 G3                    G4
21.3.63    74.00    F#aug      F#3          D4                       E4 G4
21.3.74    74.10    D          F#3          E3 D4 D3                 E4 F#4
21.3.85    74.20    D          F#3          D4 D3                    E5 F#4
21.3.96    74.30    D          F#3 A1       D3 D4                    E4 E5
21.4.07    74.40    D          -            F#3 D3                   E4 E5
21.4.19    74.50    F#aug      D3 F#2       F#3                      E4 F#4
21.4.30    74.60    D          D3           E3 F#3                   E4 F#4
21.4.41    74.70    D          D3           F#3                      A4 F#4
21.4.52    74.80    D          D3           F#3                      A4 F#4
21.4.63    74.90    -          D3           -                        D5 A4
21.4.75    75.00    -          D3           D4                       D5 A4
21.4.86    75.10    -          D3           D4                       D5 A4
21.4.97    75.20    F          F2 A2        D3 C4 G3                 D5
22.1.08    75.30    F          F2 A2        D3 C4 G3 B4              D5 C5
22.1.19    75.40    C5         A2           C3 C4 G3 B4 A3           D5 C5
22.1.30    75.50    Am         A2           C3 C4 E4 B3 G3 A3        D5 C5
22.1.42    75.60    Am         A2           A3 A4 C3 C4 B3 G3 E4     -
22.1.53    75.70    C5         A2           A3 C4 B3 G3              E4 G4
22.1.64    75.80    G          A2           D3 A3 B3 G3 C4           E4 G4
22.1.75    75.90    D5         A2           D3 A3 B3 C4              B5 A4
22.1.86    76.00    D5         A2           D3 B3 A3 C4              A4 B5
22.1.97    76.10    C5         G2           C3 G3 B3 A3              B5 D5
22.2.09    76.20    C5         A1 G3        C3 B3 B4 A3 A4           D5 B5
22.2.20    76.30    Em         G3           E3 B3 A3 A4              B5 D5
22.2.31    76.40    A5         G3 A2        E3 B3 A4 A3              D5
22.2.42    76.50    A5         G3 A2        E3 B3                    B5 D5
22.2.53    76.60    Fdim       A2 F2        E3 B3 G3 G#4             B5 D5
22.2.64    76.70    Em         F2           E3 B3 G3                 B5 D5
22.2.76    76.80    Em         -            E3 G3                    D5 D5
22.2.87    76.90    Em         -            E3 G3                    D5 B4
22.2.98    77.00    D7         -            F#3 E3 D3 C4             B4
22.3.09    77.10    F#min7b5   F#3 F#2      E3 D3 C4                 B4 B4
22.3.20    77.20    F#dim      F#2 F#3      C4 D3                    B4 B4
22.3.31    77.30    F#min7b5   F#2 F#3      E3 C4                    B4 B4
22.3.43    77.40    Esus2      F#3          E3                       B4
22.3.54    77.50    Esus2      F#3          E3                       -
22.3.65    77.60    D          F#3          D3 E3 D4                 -
22.3.76    77.70    D          F#3          D3 D4 E3                 D5 B4
22.3.87    77.80    Dsus2      -            D3 E3 D4 C4              D5 B4
22.3.98    77.90    F#aug      F#2          D3 C4 D4 A#3             D5 C5
22.4.09    78.00    F5         F2           C4 A#3                   D5 C5
22.4.21    78.10    A#5        -            F4 C4 A#3                D5 C5
22.4.32    78.20    F#         F#3          C4 A#3                   C5
22.4.43    78.30    F#         F#3          A#3 C4                   C5 C5
22.4.54    78.40    G#         G#2 F#3      D#4 A#3 C4               C5 C5
22.4.65    78.50    G#7        G#2 F#3      A#3 G#3 C4               C5 F4
22.4.77    78.60    G#7        G#2 F#3      A#3 G#3 C4               F4
22.4.88    78.70    G#7        G#2 F#3      G#3 C4                   A#4 F4
22.4.99    78.80    G5         G2           D3 G3 F#3                A#4
23.1.10    78.90    G5         G2           D3 G3 F#3 F#4            B4 A#4
23.1.21    79.00    G5         G2           D3 G3 F#3 D4             B4 A#4
23.1.32    79.10    G          G2           G3 F#3 D3 D4 B3 G4       B4 A4
23.1.43    79.20    G          G2           D3 D4 B3 B4 F#3 G4       A4
23.1.55    79.30    G          G2           D3 D4 F#3 B4 G4 F#4      -
23.1.66    79.40    Gm         G2           D3 A4 A#4 F#3 F#4 G4     -
23.1.77    79.50    Gm         G2           D3 A#4 A3 F#3 F#4        D5 B4
23.1.88    79.60    Gm         G2           D3 F#3 A#4               D5 B4
23.1.99    79.70    G5         G2           F#3 D3                   B5 D5
23.2.11    79.80    G5         G2 F#3       D3                       B5 D5
23.2.22    79.90    G          F#3 G2       D3 B3                    B5 E5
23.2.33    80.00    G          F#3 G2       B4 D3                    E5 D5
23.2.44    80.10    G          G2 F#3       B3 B4 D3                 E5 D5
23.2.55    80.20    G          G2 F#3       D3 B4 B3 A3 A4           -
23.2.66    80.30    G          G2 F#3       D3 E3 B3 B4 A4           D5
23.2.78    80.40    G          G2 F#3       E3 D3 B3                 B5 D5
23.2.89    80.50    Gm         G2 F#3       D3 A#4 E3                B5 D5
23.3       80.60    D          F2 F#3       D3                       B5 B5
23.3.11    80.70    Bm         F2 F#3       D3 B3                    B4 B5
23.3.22    80.80    Bm         F#3          D3 B3 E3                 B5 D5
23.3.33    80.90    Bm         F#3          D3 E3 B3                 D5 B4
23.3.45    81.00    G5         F#3 G2       E3 D3                    D5 B4
23.3.56    81.10    G          F#3 G2       B3 D3 B4                 B5
23.3.67    81.20    Em         F#3 G2       E3 F#4 B3                B5 B4
23.3.78    81.30    E5         -            E3 F#3 F#4 B3            B5 B4
23.3.89    81.40    Em         G2           E3 F#3 B3                B4 F#4
23.4       81.50    Em         G2           E3 B3                    B4 F#4
23.4.12    81.60    Em         G2           E3 B3                    B4 F#4
23.4.23    81.70    Bm         F#3          D3 D4 E3 B3              B4
23.4.34    81.80    Bm         B1 F#3       D3 D4 E3 B3              D5 B4
23.4.45    81.90    Bm         B1 F#3       D3 D4 E3                 D5 B4
23.4.56    82.00    D          D3 F#3       D4 E3                    D5 B4
23.4.67    82.10    D          D3 F#3       E3                       D5 B4
23.4.79    82.20    D          D3 F#3       E3                       D5 B4
23.4.90    82.30    Esus2      E2           D3 F#3                   D5 D5
24.1.01    82.40    Edim       E2           D3 G3 C3 D4 A#3          D5 A4
24.1.12    82.50    Edim       E2 G3        D3 C3 D4 A#3             D5 A4
24.1.23    82.60    Edim       G3 E2        D3 D4 A#3 A3             D5 A4
24.1.34    82.70    D5         -            G3 D3 D4 A#3 A3          D5 A4
24.1.46    82.80    Gm         -            G3 D3 D4 A#3             A#4 D5
24.1.57    82.90    Gm         G2 G3        C3 D3 D4 A#3             D5 A#4
24.1.68    83.00    Gm         G2 G3        D3 D4 A#3                D5 A#4
24.1.79    83.10    Gm         G2 G3        D3 D4 A#3 A3             -
24.1.90    83.20    Gm         G2 G3        D3 D4 A#3 A3             -
24.2.01    83.30    Gm         G2 G3        D3 D4 A#3 A#4            -
24.2.13    83.40    Gm         G3           D3 D4 A#3 A#4            -
24.2.24    83.50    C5         C2 G3        C3 D3 A#4                G#4 D5
24.2.35    83.60    C5         C3           G3 G4 D3                 G#4 D5
24.2.46    83.70    C          C3 E2        G3 G4 D3 D4              G#4 D5
24.2.57    83.80    C          E2 C3        G3 G4 D3 D4              -
24.2.68    83.90    G5         G2           G3 D3 D4 C3              -
24.2.79    84.00    G          G2           G3 D3 D4 C3 B4           D5 E5
24.2.91    84.10    G          G2           D4 G3 D3 B4              D5 E5
24.3.02    84.20    Gm         G2 C3        A#3 D4 G3                E5 D5
24.3.13    84.30    Gm         G2 C3        A#3 D4 G3 E4             D5
24.3.24    84.40    C          C2 G2        A#3 D4 G3 E4             D5 D5
24.3.35    84.50    C          C2 G2        D4 A#3 G3 G4 E4          D5 D5
24.3.47    84.60    C          C2 G2        D3 D4 A#3 G3 E4          D5 D5
24.3.58    84.70    Csus2      C2           D3 D4 A#3                D5 D5
24.3.69    84.80    Csus2      C2           D3 D4 A#3                D5 D5
24.3.80    84.90    Csus2      C2           D3 D4 A#3                D5
24.3.91    85.00    C7         C2           D3 D4 A#3 E4             -
24.4.02    85.10    Csus2      C2           D3 A#3                   A#4
24.4.14    85.20    Csus2      C2           D3 A#3                   A#4 A4
24.4.25    85.30    Csus2      C2           D3 A#3                   A#4 A4
24.4.36    85.40    C7         C2           D3 A#3 E4                A4
24.4.47    85.50    Csus2      C2           D3 A#3                   A4 F#4
24.4.58    85.60    Csus2      C2           D3                       A4 F#4
24.4.69    85.70    Csus2      C2           D3                       A4 F#4
24.4.81    85.80    C5         G2 C2        D3 G3 B4                 A4 F#4
24.4.92    85.90    C5         G2 C2        D3 A3 G3 B4              F#4
25.1.03    86.00    G5         G2           D3 A3                    B4 A4
25.1.14    86.10    D5         D2 G2        D3 C#4 A3                B5 B4
25.1.25    86.20    D          D2 G2        D3 C#4 A3 F#3            B5 B5
25.1.36    86.30    D5         D2           D3 C#4 A3                B5 B5
25.1.48    86.40    D          D2           D3 C#4 A3 F#4            B5 B4
25.1.59    86.50    D5         D2           D3 C#3 C#4 A3            B5 B4
25.1.70    86.60    D5         D2           E3 D3 A3 C#4             B5
25.1.81    86.70    D5         A2 D2        E3 D3 A3 C#4             B5 B4
25.1.92    86.80    D5         A2 D2        E3 D3 C#4 A3             B4
25.2.03    86.90    D5         A2 D2        C#3 C#4 E3 D3            C#5 B4
25.2.14    87.00    D5         A2 D2        C#3 C#4 E3 D3            G#5 C#5
25.2.26    87.10    D5         A2 D2        C#3 C#4 E3 D3            G#5 C#5
25.2.37    87.20    D5         A2 D2        E3 C#4 D3 A3             G#5 G#5
25.2.48    87.30    A          A2           E3 C#4 D3 A3             G#5 G#5
25.2.59    87.40    A          A2           E3 C#4 D3 C#3 A3         G#5
25.2.70    87.50    A          A2           E3 D3 C#3 A3 C#4         G#5
25.2.82    87.60    A          A2           D3 C#3 E3 C#4 A3 E4 F#4  D5
25.2.93    87.70    A          A2           C#3 E3 C#4 D3 A3 A4 F#4  D5
25.3.04    87.80    F#m        E3           C#3 F#3 C#4 A3           D5 C#5
25.3.15    87.90    F#m        E3           C#3 F#3 C#4 A3           D5 C#5
25.3.26    88.00    F#m        E3 F#3       C#3 C#4 A3               B5 D5
25.3.37    88.10    F#m        E3 F#3       C#4 A3                   B5 C#5
25.3.48    88.20    F#m        E3 F#3       A3 C#4                   B5 C#5
25.3.60    88.30    A5         E3 F#3       A3                       E4 B4
25.3.71    88.40    A5         E3 F#3       A3                       E4 B4
25.3.82    88.50    F#m        E2 E3        A4 A3 F#3 C#4            -
25.3.93    88.60    D          E2 E3        D3 F#3 A3 A4 C#4         -
25.4.04    88.70    E5         E2 B2        D3 D4 F#3 F#4 E3 A3      B4
25.4.16    88.80    Bm         B1 B2        D3 D4 F#3 A3 B3          D5 B4
25.4.27    88.90    Bm         B1 B2        D3 D4 F#3 A3 B3          D5 B4
25.4.38    89.00    Bm         B2           D3 D4 A3 F#3 B3          D5 D5
25.4.49    89.10    Dm         -            D3 D4 A3 F4              D5 D5
25.4.60    89.20    D5         A#2          D3 A3 A#4                D5 D5
25.4.71    89.30    D5         A#2          D3 D4 A3 A#4             D5 A4
25.4.82    89.40    D5         A#2          A3 D4 A#4                D5 A4
25.4.94    89.50    D5         A#2          D4 A3                    D5 A4
26.1.05    89.60    D5         A#2          D4 A3                    D5 A4
26.1.16    89.70    A#         A#2          D4 A3 A4 F4 A#3          -
26.1.27    89.80    D5         A#2          D4 A3 A4 A#3             -
26.1.38    89.90    D5         A#2          D4 A3 A4 A#3             -
26.1.50    90.00    C5         -            B3 G3 C4 G4              D5
26.1.61    90.10    G          A2           D3 B3 G3 C4              D5 B4
26.1.72    90.20    G          A1 A2        C3 G3 C4 B3 D3           D5 B4
26.1.83    90.30    G          A2           C3 B3 C4 D3 A3 G3        C5 B4
26.1.94    90.40    Am         A2           C3 E3 C4 G3 B3           C5 B4
26.2.05    90.50    Am         C3 A2        E3 G3 C4 B3              C5 B4
26.2.17    90.60    C          C3           E3 C4 G3                 B4
26.2.28    90.70    Dmaj7?     -            C#3 D3                   B4 G#4
26.2.39    90.80    F#5        F#2          C#3 D3 B4                G#4
26.2.50    90.90    F#5        F#2          C#3 D3                   A5 G#4
26.2.61    91.00    D          F#2          D3 E3 A3                 A5
26.2.72    91.10    C#aug      C#3          D3 A3 F3                 A5 D5
26.2.84    91.20    D          F#2          D3 A3                    D5 D5
26.2.95    91.30    D5         D2           D3 G3 G4 A3 C4           D5 D5
26.3.06    91.40    D5         D2 D3        G3 A3 C4                 D5 D5
26.3.17    91.50    D5         D2 D3        G3 C4 A3                 B5 D5
26.3.28    91.60    D5         D2 G3        A3 D3 C3 C4              B5 D5
26.3.39    91.70    D5         D2 G3        D3 A3 C3 C4              B5 D5
26.3.51    91.80    G5         D2 G3        D3                       D5 B4
26.3.62    91.90    G5         D2 G3        D3                       D5 B4
26.3.73    92.00    G5         C#2 G3       D3                       D5 B4
26.3.84    92.10    D5         G3           D3 A4 B4                 -
26.3.95    92.20    D          -            D3 E3 F#3                B4
26.4.06    92.30    D          F#3          E3 D3                    B4 B4
26.4.18    92.40    D          F#3          E3 D3                    B4 B4
26.4.29    92.50    D          F#3          E3 D3                    B4 B4
26.4.40    92.60    A5         F#3          E3 E4 A4                 -
26.4.51    92.70    A5         F#3          E3 A4                    E4 B4
26.4.62    92.80    D          F#3 D2       E3                       E4 B4
26.4.73    92.90    Esus2      E2 F#3       E3                       E4 B4
26.4.84    93.00    F#min7     F#2          E3 E4                    -
26.4.96    93.10    G5         F#2          E3 G3 D3 F#3             B4 F#4
27.1.07    93.20    G          G2 F#3       G3 D3 E3 B3              B4 F#4
27.1.18    93.30    G          G2 F#3       D3 E3 B3 G4              B4 F#4
27.1.29    93.40    G          G2 F#3       D3 E3 E4 B3 G4           -
27.1.40    93.50    G          G2 F#3       D3 E3 E4 B3 G4           -
27.1.52    93.60    G5         G2 F#3       D3 D4                    D5 A4
27.1.63    93.70    G5         F#3 G2       D3 D4                    D5 A4
27.1.74    93.80    G5         F#3 G2       D3 D4                    D5 A4
27.1.85    93.90    G5         F#3 G2       D3 D4                    D5 G4
27.1.96    94.00    G5         F#3 G2       D3 D4                    D5 D5
27.2.07    94.10    G5         F#3 G2       D3 D4                    D5 G4
27.2.18    94.20    G5         G2 F#3       D3 A3 D4                 D5 G4
27.2.30    94.30    G5         G2 F#3       D3 A3 D4 G3              G4
27.2.41    94.40    G5         F#3 G2       D3 D4 A3 G3              D5 A4
27.2.52    94.50    G5         F#3 G2       D3 D4 A3 G3              D5 A4
27.2.63    94.60    G5         F#3 G2       D3 D4 A3 G3              D5 D5
27.2.74    94.70    G5         G2 F#3       D3 D4 A3 G3              D5
27.2.86    94.80    D          F#3          D3 D4 B3 A3 G3           D5
27.2.97    94.90    Bm         F#3          D3 B3                    D5 D5
27.3.08    95.00    B5         F#3 G2       B3 B4                    D5 D5
27.3.19    95.10    Em         F#3 G2       B3 B4 E3                 D5 D5
27.3.30    95.20    B5         F#3 G2       B4 B3                    D5
27.3.41    95.30    G          F#3 G2       D3 B3                    F#4 B4
27.3.53    95.40    G          F#3 G2       D3 B3                    F#4 B4
27.3.64    95.50    Bm         F#3          D3 B3                    B4 B4
27.3.75    95.60    Bm         F#3 B1       D3 B3 A3                 A4 B4
27.3.86    95.70    Bm         F#2 B1 F#3   F#4 B3 D3 A3             A4 B4
27.3.97    95.80    B5         F#3          B3                       B4 A4
27.4.08    95.90    B5         F#3          B3                       B4 A4
27.4.20    96.00    Bm         F#3          D3 B3                    B4 A4
27.4.31    96.10    D          -            D3 F#3 F#4 A4 B3         -
27.4.42    96.20    F5         F2           F3 D3 A#3 C4             C5 A4
27.4.53    96.30    F5         F2 C3        F3 D3 A#3 C4             C5 C5
27.4.64    96.40    Emin7b5    C3 E2        A#3 C4 D3                C5 C5
27.4.75    96.50    Emin7b5    C3 E2        A#3 C4 D3                C5 C5
27.4.87    96.60    C7         C2 E2        A#3 C3 C4 D3             C5 C5
27.4.98    96.70    D5         C2           A#3 C3 D3 A3 C4          C5
28.1.09    96.80    D5         C2           A#3 C3 A3 A4 D3 C4       -
28.1.20    96.90    F          F2           D3 A#4 C3 A#3 C4 A4      -
28.1.31    97.00    A#         E2           F4 D3 D4 A#3 A#4 C4 C3   -
28.1.42    97.10    A#         F2 E2        D3 A#3 D4 C4             F4 A4
28.1.54    97.20    Emin7b5    E2           D3 A#3 C4                F4 A4
28.1.65    97.30    Emin7b5    E2 C3        D3 A#3 C4                D5 A#4
28.1.76    97.40    Emin7b5    E2           D3 A#3 D4 C4             D5 A#4
28.1.87    97.50    Csus2      C3           A#3 D3 D4 C4             D5 A#4
28.1.98    97.60    G          B2           A#3 D3 D4 C4 G4          D5 A#4
28.2.09    97.70    Cm         C3           D3 D#3 D4 C4 G4          D5 A#4
28.2.21    97.80    Cm         C3           D#3 A#4 D3 D4 C4 G4      -
28.2.32    97.90    Edim       C3 E2        D3 D#3 A#4 D4 A#3 G4 F4  -
28.2.43    98.00    Cm         C3           D3 D#3 A#3 D4 G4         D5 A#4
28.2.54    98.10    C          C3           D3 E3 A#3 G4             D5 A#4
28.2.65    98.20    C          C3           D3 E3 G4                 D5 C5
28.2.76    98.30    C          C3           D3 E3 A#4 G4             C5 C5
28.2.87    98.40    C5         C3           D3 D4 A#3 G4             C5 C5
28.2.99    98.50    Csus2      C3           D3 D4 A#3 C4             D5 C5
28.3.10    98.60    Csus2      C3           D3 D4 A#3 C4             D5 C5
28.3.21    98.70    Csus2      C3           D3 A#3 D4 C4             D5
28.3.32    98.80    F5         F2           D3 F4 D4 A#3 C4          D5 A#4
28.3.43    98.90    A#         -            D4 A#3 C4                A#4 A4
28.3.54    99.00    F5         F2           D4 A#3 C4                A#4 A4
28.3.66    99.10    F5         F2           D4 A#3 C4                A#4 A4
28.3.77    99.20    F5         F2 C3        D3 A#3 C4                A#4 A4
28.3.88    99.30    F5         F2           D3 A#3 C3 G3             A#4 A4
28.3.99    99.40    C5         C3           A#3 G3                   A#4 A4
28.4.10    99.50    A#sus2     -            A#3 C4                   A#4 G4
28.4.21    99.60    D5         -            D3 A4 A#3 C4             -
28.4.33    99.70    A#         F2           D3 C#4 E3 A#3            G4 A4
28.4.44    99.80    F#5        F2           D3 C#4 E3 F#4            C#5 A4
28.4.55    99.90    Aaug       F2 A1        C#4 F#4                  C#5 A4
28.4.66    100.00   F#m        A1           C#4 F#4                  C#5 A4
28.4.77    100.10   D5         -            D3 C#4 A3                C#5 A4
28.4.89    100.20   D5         D2           D3 A3                    C#5 A4
29.1       100.30   D5         D2 A2        D3 A3 C#4                C#5 A4
29.1.11    100.40   D5         A2 D2        D3 A3 C#4                A4 F#4
29.1.22    100.50   D5         A2 D2        E3 D3 A3 C#4             A4 F#4
29.1.33    100.60   A5         E3 A2        D3                       G#5 F#5
29.1.44    100.70   -          E3           -                        G#5 F#5
29.1.56    100.80   Em         E3 G3        -                        G#5 F#5
29.1.67    100.90   Em         E3 G3        -                        D5 B4
29.1.78    101.00   Esus2      F#3          E3                       D5 B4
29.1.89    101.10   B5         B1 F#3       -                        D5 C#5
29.2       101.20   B5         B1 F#3       -                        D5 C#5
29.2.11    101.30   B5         B1 F#3       -                        C#5
29.2.23    101.40   -          F#3          -                        -
29.2.34    101.50   B5         F#3          B3                       F#4 C#5
29.2.45    101.60   E5         F#2 F#3      B3 E3                    F#4 C#5
29.2.56    101.70   E5         F#3          B3 E3                    D5 C#5
29.2.67    101.80   B5         F#3          B3                       D5 B4
29.2.78    101.90   D          F#3          A3 D3 B3                 D5 B4
29.2.89    102.00   D          F#3          A3 D3 B3                 D5 B4
29.3.01    102.10   E5         F#3 E2       A3 D3 B3                 D5 B4
29.3.12    102.20   E5         F#3 E2       A3 B3 D3                 D5 B4
29.3.23    102.30   E5         E2           A3 B3 F#3                B4
29.3.34    102.40   A5         F#2 E2       A3 F#3                   B4
29.3.45    102.50   F#m        F#3 F#2      A3                       B4 A4
29.3.57    102.60   D          F#3          A3 D3                    B4 A4
29.3.68    102.70   D          F#3          D3 A3                    B4 A4
29.3.79    102.80   D          D3 F#3       A3                       B4 A4
29.3.90    102.90   F#aug      D3 F#2 F#3   -                        B4 A4
29.4.01    103.00   F#aug      F#2 F#3      D3                       B4 A4
29.4.12    103.10   F#aug      F#2 F#3      D3                       A4
29.4.23    103.20   Bm         B2           D3 D4 A3 F#3 B3          D5 A4
29.4.35    103.30   Bm         B1 B2        D3 D4 A3 F#3 B3          D5 D5
29.4.46    103.40   D5         B1 B2        D3 D4 A3 B3              D5 D5
29.4.57    103.50   D5         B1 B2        D3 D4 A3 B3              D5
29.4.68    103.60   D5         B1 B2        D3 D4 A3 B3              -
29.4.79    103.70   D5         B1 B2        D3 D4 A3 B4              -
29.4.91    103.80   D5         B1 B2        D3 D4 A3 B4              -
30.1.02    103.90   D5         B1 B2        D3 D4 A3 B4              -
30.1.13    104.00   Bm         B1 B2        F#3 C4 D4 A3 B4          -
30.1.24    104.10   G#         G#2 F#3      G#3 D#3 D#4 C4           B5 C5
30.1.35    104.20   G#         G#2 F#3      G#3 D#3 C4               B5 C5
30.1.46    104.30   G#7        G#2 F#3      G#3 C4                   B5 C5
30.1.57    104.40   G#7        G#2 F#3      G#3 C4                   C5
30.1.69    104.50   G#7        G#2 F#3      G#3 C4                   C5 G#4
30.1.80    104.60   G#aug      G#2 F#3      E3 G#3 C4                G#4
30.1.91    104.70   G#aug      G#2          E3 F#3 C4                G#4
30.2.02    104.80   Am         A1 A2        D3 G3 E3 D4 C4           D5
30.2.13    104.90   D5         A1 A2        D3 G3 D4 C4              D5 D5
30.2.25    105.00   D5         A1 A2        D3 D4 G3 C4              D5 D5
30.2.36    105.10   D5         A2 G3        D3 D4 C4                 D5 D5
30.2.47    105.20   D5         A2           D3 D4 C4 G3              -
30.2.58    105.30   D5         A2           D3 G3 D4 C4              G5 D5
30.2.69    105.40   D5         A2 D3        D4 G3 C4                 G5 D5
30.2.80    105.50   D5         D3 A2        D4 G3 C4                 B5 G5
30.2.92    105.60   D5         A1 A2        D3 D4 G3 C4              B5 D5
30.3.03    105.70   D5         A1 A2        D3 D4 C4                 B5 D5
30.3.14    105.80   D5         A2           D3 D4 C4                 D5 D5
30.3.25    105.90   D5         D3 A2        D4 C4                    D5 B4
30.3.36    106.00   D5         D3 A2        -                        D5 B4
30.3.47    106.10   -          D3           -                        D5 B4
30.3.59    106.20   G5         D3           E3 G4                    D5 B4
30.3.70    106.30   G5         F#3          E3 D3 G4                 D5 B4
30.3.81    106.40   F#dim      F#3 F#2      D3 C3 C4                 D5 B4
30.3.92    106.50   F#dim      F#2 F#3      D3 C3 C4                 D5 C5
30.4.03    106.60   Bm         F#3 B1       D3 C4 A4                 C5 B4
30.4.14    106.70   Bm         B1 F#3       E3 D3 C4                 C5 B4
30.4.26    106.80   Eaug       F#3          E3 C4                    A4
30.4.37    106.90   F#min7b5   F#3 F#2      E3 D4 C4                 B4 A4
30.4.48    107.00   D7         F#3          E3 D3 D4 C4              E4 B4
30.4.59    107.10   Bm         F#2 F#3      E3 D3 B3 D4              E4 B4
30.4.70    107.20   G          F#3          D3 G3 B3                 B4
30.4.81    107.30   G          G2 F#3       D3 G3 B3                 B4 B4
30.4.93    107.40   G          G2 F#3       D3 B3 G4                 B4 B4
31.1.04    107.50   G          G2 F#3       D3 B3 G4                 B4
31.1.15    107.60   G          G2 F#3       D3 E3 D4 B3              D5 B4
31.1.26    107.70   G          G2 F#3       D3 E3 D4 B3              D5
31.1.37    107.80   G          G2 F#3       D3 D4 B3                 D5 D5
